epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,155.486,0.93993,2.10393,0.85982,1.19962,0.75196,0.84906,0.85081,0.60442,0.31154,0.41509,0.22609,0.05492,1.0211,5.23487,0.98826,1.43112,0.0013367,0.0013367,0.0013367
69,157.358,0.92623,2.20872,0.88769,1.22057,0.75196,0.84906,0.85081,0.60442,0.31154,0.41509,0.22609,0.05492,1.0211,5.23487,0.98826,1.43112,0.0013268,0.0013268,0.0013268
70,159.299,1.16009,2.73364,1.12595,1.40011,0.75196,0.84906,0.85081,0.60442,0.31154,0.41509,0.22609,0.05492,1.0211,5.23487,0.98826,1.43112,0.0013169,0.0013169,0.0013169
71,161.163,0.89736,2.22697,0.84798,1.2037,0.78585,0.83085,0.86271,0.60952,0.55687,0.58491,0.49409,0.14774,1.00258,3.73708,0.98583,1.46695,0.001307,0.001307,0.001307
72,163.128,1.02527,2.30322,0.96772,1.27141,0.78585,0.83085,0.86271,0.60952,0.55687,0.58491,0.49409,0.14774,1.00258,3.73708,0.98583,1.46695,0.0012971,0.0012971,0.0012971
73,165.061,0.78436,1.94395,0.7556,1.07456,0.75408,0.84906,0.86688,0.59591,0.69867,0.56604,0.59073,0.22508,1.14468,4.31713,1.11217,1.51651,0.0012872,0.0012872,0.0012872
74,166.962,0.95451,2.20666,0.89525,1.29444,0.75408,0.84906,0.86688,0.59591,0.69867,0.56604,0.59073,0.22508,1.14468,4.31713,1.11217,1.51651,0.0012773,0.0012773,0.0012773
75,169.09,0.94871,2.07907,0.81654,1.16742,0.75408,0.84906,0.86688,0.59591,0.69867,0.56604,0.59073,0.22508,1.14468,4.31713,1.11217,1.51651,0.0012674,0.0012674,0.0012674
76,171.08,0.87066,2.15513,0.81402,1.1699,0.78336,0.81132,0.85158,0.53834,0.75511,0.67925,0.59606,0.205,1.2491,4.44274,1.2845,1.56694,0.0012575,0.0012575,0.0012575
77,172.951,0.7667,1.83962,0.73527,1.10238,0.78336,0.81132,0.85158,0.53834,0.75511,0.67925,0.59606,0.205,1.2491,4.44274,1.2845,1.56694,0.0012476,0.0012476,0.0012476
78,174.797,0.79942,1.66849,0.76487,1.11042,0.78336,0.81132,0.85158,0.53834,0.75511,0.67925,0.59606,0.205,1.2491,4.44274,1.2845,1.56694,0.0012377,0.0012377,0.0012377
79,176.705,0.80215,1.8755,0.7861,1.13423,0.807,0.789,0.83171,0.58167,0.50298,0.49057,0.30468,0.08237,0.97818,4.59286,1.11167,1.40514,0.0012278,0.0012278,0.0012278
80,178.536,0.87985,1.88065,0.87072,1.21162,0.807,0.789,0.83171,0.58167,0.50298,0.49057,0.30468,0.08237,0.97818,4.59286,1.11167,1.40514,0.0012179,0.0012179,0.0012179
81,180.463,0.92589,1.9822,0.89615,1.18638,0.69109,0.77358,0.79965,0.58644,0.37936,0.20755,0.21538,0.0794,1.05522,4.59995,1.11032,1.51428,0.001208,0.001208,0.001208
82,182.331,0.8109,1.82468,0.74602,1.11185,0.69109,0.77358,0.79965,0.58644,0.37936,0.20755,0.21538,0.0794,1.05522,4.59995,1.11032,1.51428,0.0011981,0.0011981,0.0011981
83,184.212,0.8565,1.7718,0.78378,1.1363,0.69109,0.77358,0.79965,0.58644,0.37936,0.20755,0.21538,0.0794,1.05522,4.59995,1.11032,1.51428,0.0011882,0.0011882,0.0011882
84,186.085,0.94061,2.25881,0.95349,1.27866,0.76859,0.87743,0.8509,0.61,0.50673,0.39623,0.37046,0.17537,1.01076,4.4964,1.05897,1.43965,0.0011783,0.0011783,0.0011783
85,187.961,1.00174,2.68894,0.95895,1.30103,0.76859,0.87743,0.8509,0.61,0.50673,0.39623,0.37046,0.17537,1.01076,4.4964,1.05897,1.43965,0.0011684,0.0011684,0.0011684
86,189.801,0.7243,1.50764,0.75636,1.07825,0.76859,0.87743,0.8509,0.61,0.50673,0.39623,0.37046,0.17537,1.01076,4.4964,1.05897,1.43965,0.0011585,0.0011585,0.0011585
87,192.337,0.95008,2.03278,0.86137,1.21075,0.79472,0.86792,0.85904,0.5897,0.52211,0.57727,0.46918,0.21028,1.0142,4.38453,0.98107,1.4002,0.0011486,0.0011486,0.0011486
88,194.225,0.81978,1.63419,0.74375,1.17617,0.79472,0.86792,0.85904,0.5897,0.52211,0.57727,0.46918,0.21028,1.0142,4.38453,0.98107,1.4002,0.0011387,0.0011387,0.0011387
89,196.456,0.97914,2.20722,0.87148,1.27005,0.70236,0.90566,0.83899,0.58782,0.49814,0.64151,0.46946,0.23819,1.06796,4.05091,0.92223,1.42686,0.0011288,0.0011288,0.0011288
90,198.309,0.81588,1.6796,0.77165,1.13556,0.70236,0.90566,0.83899,0.58782,0.49814,0.64151,0.46946,0.23819,1.06796,4.05091,0.92223,1.42686,0.0011189,0.0011189,0.0011189
91,200.159,0.74158,1.70115,0.69945,1.09045,0.70236,0.90566,0.83899,0.58782,0.49814,0.64151,0.46946,0.23819,1.06796,4.05091,0.92223,1.42686,0.001109,0.001109,0.001109
92,202.03,0.87175,1.9322,0.79841,1.16589,0.73337,0.73585,0.78788,0.57975,0.41133,0.49057,0.29821,0.13964,1.01571,4.42073,1.02262,1.37816,0.0010991,0.0010991,0.0010991
